JOB_TITLE,MIN_SALARY,MAX_SALARY
Accountant,4200,9000
Accounting Manager,8200,16000
Administration Assistant,3000,6000
Administration Vice President,15000,30000
Finance Manager,8200,16000
Human Resources Representative,4000,9000
Marketing Manager,9000,15000
Marketing Representative,4000,9000
President,20080,40000
Programmer,4000,10000
Public Accountant,4200,9000
Public Relations Representative,4500,10500
Purchasing Clerk,2500,5500
Purchasing Manager,8000,15000
Sales Manager,10000,20080
Sales Representative,6000,12008
Shipping Clerk,2500,5500
Stock Clerk,2008,5000
Stock Manager,5500,8500
